[SENSOR][DROP] PAYLOAD | age=2.224ms
[SENSOR][DROP] PAYLOAD | age=10.561ms
[SENSOR][DROP] PAYLOAD | age=1.183ms
[SENSOR][DROP] PAYLOAD | age=25.679ms
[SENSOR][DROP] PAYLOAD | age=35.937ms
[SENSOR][DROP] PAYLOAD | age=1.533ms
[SENSOR][DROP] PAYLOAD | age=49.708ms
[SENSOR][DROP] PAYLOAD | age=3.180ms
[SENSOR][DROP] PAYLOAD | age=13.438ms
[SENSOR][DROP] PAYLOAD | age=0.894ms
[SENSOR][DROP] PAYLOAD | age=27.490ms
[SENSOR][DROP] PAYLOAD | age=39.011ms
[SENSOR][DROP] PAYLOAD | age=1.332ms
[SENSOR][DROP] PAYLOAD | age=1.412ms
[SENSOR][DROP] PAYLOAD | age=11.088ms
[SENSOR][DROP] PAYLOAD | age=19.336ms
[SENSOR][DROP] PAYLOAD | age=1.266ms
[SENSOR][DROP] PAYLOAD | age=44.187ms[SENSOR][DROP] PAYLOAD | age=36.335ms

[SENSOR][DROP] PAYLOAD | age=3.748ms
[SENSOR][DROP] PAYLOAD | age=11.631ms
[SENSOR][DROP] PAYLOAD | age=1.078ms
[SENSOR][DROP] PAYLOAD | age=26.773ms
[SENSOR][DROP] PAYLOAD | age=35.864ms
[SENSOR][DROP] PAYLOAD | age=1.422ms
[SENSOR][DROP] PAYLOAD | age=1.163ms
[SENSOR][DROP] PAYLOAD | age=9.566ms
[SENSOR][DROP] PAYLOAD | age=21.875ms
[SENSOR][DROP] PAYLOAD | age=1.764ms
[SENSOR][DROP] PAYLOAD | age=34.133ms
[SENSOR][DROP] PAYLOAD | age=46.308ms
[SENSOR][DROP] PAYLOAD | age=1.128ms
[SENSOR][DROP] PAYLOAD | age=11.653ms
[SENSOR][DROP] PAYLOAD | age=26.064ms
[SENSOR][DROP] PAYLOAD | age=1.202ms
[SENSOR][DROP] PAYLOAD | age=36.201ms
[SENSOR][DROP] PAYLOAD | age=3.919ms
